elapsed,best_cost,current_cost,hard_ok,accept_rate,operator
2.420,83.8,83.8,1,1.0000,move
4.510,76.59999999999998,76.59999999999998,1,1.0000,move
7.317,70.99999999999997,70.99999999999997,1,1.0000,move
9.865,64.39999999999998,64.39999999999998,1,1.0000,kempe
13.010,59.799999999999976,59.799999999999976,1,1.0000,move
15.327,56.39999999999998,56.39999999999998,1,1.0000,move
18.169,52.59999999999997,52.59999999999997,1,1.0000,move
20.224,49.799999999999976,49.799999999999976,1,1.0000,kempe
23.158,46.99999999999998,46.99999999999998,1,1.0000,move
25.646,44.399999999999984,44.399999999999984,1,1.0000,move
28.114,42.59999999999999,42.59999999999999,1,1.0000,move
30.254,40.59999999999999,40.59999999999999,1,1.0000,move
32.453,37.99999999999999,37.99999999999999,1,1.0000,move
34.510,36.199999999999996,36.199999999999996,1,1.0000,move
36.624,34.199999999999996,34.199999999999996,1,1.0000,move
39.098,32.6,32.6,1,1.0000,move
42.361,30.4,30.4,1,1.0000,kempe
45.053,28.6,28.6,1,1.0000,move
47.604,27.6,27.6,1,1.0000,move
51.324,23.800000000000004,23.800000000000004,1,1.0000,move
53.502,21.800000000000004,21.800000000000004,1,1.0000,move
56.118,20.800000000000004,20.800000000000004,1,1.0000,move
58.396,20.800000000000004,20.800000000000004,1,1.0000,move
60.524,20.800000000000004,20.800000000000004,1,1.0000,kempe
63.328,19.800000000000004,19.800000000000004,1,1.0000,move
65.715,19.800000000000004,19.800000000000004,1,1.0000,kempe
67.849,17.200000000000003,17.200000000000003,1,1.0000,move
70.087,16.0,16.0,1,1.0000,move
72.571,15.0,15.0,1,1.0000,move
74.879,14.200000000000003,14.200000000000003,1,1.0000,move
76.885,13.200000000000003,13.200000000000003,1,1.0000,move
79.717,13.200000000000003,13.200000000000003,1,1.0000,move
82.416,12.200000000000003,12.200000000000003,1,1.0000,kempe
85.292,11.200000000000003,11.200000000000003,1,1.0000,kempe
88.461,8.200000000000003,8.200000000000003,1,1.0000,move
90.805,7.200000000000003,7.200000000000003,1,1.0000,move
93.213,7.200000000000003,7.200000000000003,1,1.0000,move
95.598,7.200000000000003,7.200000000000003,1,1.0000,move
97.660,7.200000000000003,7.200000000000003,1,1.0000,kempe
100.060,7.200000000000003,7.200000000000003,1,0.9938,kempe
103.086,6.200000000000003,6.200000000000003,1,1.0000,kempe
107.191,5.200000000000003,5.200000000000003,1,1.0000,kempe
109.949,4.200000000000003,4.200000000000003,1,1.0000,move
112.580,3.4000000000000057,3.4000000000000057,1,1.0000,kempe
114.773,2.4000000000000057,2.4000000000000057,1,1.0000,kempe
117.320,2.4000000000000057,2.4000000000000057,1,1.0000,kempe
120.587,2.4000000000000057,3.200000000000003,1,1.0000,kempe
123.465,1.4000000000000057,1.4000000000000057,1,1.0000,kempe
126.250,0.4000000000000057,0.4000000000000057,1,1.0000,move
128.751,-0.7999999999999972,-0.7999999999999972,1,1.0000,move
131.145,-0.7999999999999972,-0.7999999999999972,1,1.0000,kempe
133.864,-0.7999999999999972,-0.7999999999999972,1,1.0000,move
136.332,-1.7999999999999972,-1.7999999999999972,1,1.0000,move
138.777,-3.5999999999999943,-3.5999999999999943,1,1.0000,move
141.522,-4.599999999999994,-4.599999999999994,1,1.0000,kempe
144.212,-5.599999999999994,-5.599999999999994,1,1.0000,kempe
146.395,-6.599999999999994,-6.599999999999994,1,1.0000,kempe
148.844,-6.599999999999994,-6.599999999999994,1,1.0000,swap
151.543,-6.599999999999994,-6.599999999999994,1,1.0000,kempe
153.611,-6.599999999999994,-6.599999999999994,1,1.0000,kempe
157.030,-6.599999999999994,-6.599999999999994,1,1.0000,kempe
159.131,-6.599999999999994,-6.599999999999994,1,1.0000,move
161.595,-6.599999999999994,-6.599999999999994,1,1.0000,kempe
163.953,-6.599999999999994,-6.599999999999994,1,1.0000,kempe
167.193,-6.599999999999994,-6.599999999999994,1,1.0000,move
170.821,-6.599999999999994,-6.599999999999994,1,1.0000,kempe
174.158,-6.599999999999994,-6.599999999999994,1,1.0000,move
177.324,-6.599999999999994,-6.599999999999994,1,1.0000,kempe
180.079,-6.599999999999994,-6.599999999999994,1,1.0000,kempe
185.868,-6.599999999999994,-6.599999999999994,1,1.0000,move
190.618,-6.599999999999994,-6.599999999999994,1,1.0000,kempe
